cliente_id,nome,email,cidade,estado
75,Maitê Cunha,sophia65@almeida.org,Rodrigues Grande,PB
76,Luana Monteiro,uramos@hotmail.com,Nogueira,ES
77,Amanda Lopes,qnogueira@ig.com.br,Sales,AL
78,Luiz Fernando Melo,hcastro@alves.com,da Costa de Minas,PR
79,Joaquim Novaes,maria-eduarda86@rodrigues.com,Duarte,RS
80,Esther Dias,wcastro@pires.org,Barbosa,MT
81,Gustavo Moraes,pda-conceicao@bol.com.br,da Mata da Serra,CE
82,Paulo Nascimento,oda-conceicao@fernandes.br,Alves dos Dourados,MA
83,Maria Cecília da Cruz,lmonteiro@pereira.org,Jesus de da Paz,MG
84,Ana Lívia Duarte,isabelly44@gmail.com,Freitas do Sul,RJ
85,Stephany Barros,sophie39@yahoo.com.br,da Mota,RN
86,Renan Cunha,limavalentina@azevedo.br,Carvalho,MA
87,Dr. Davi da Paz,emanuelly84@fernandes.br,Rezende,AP
88,Vitor Gabriel das Neves,diego60@yahoo.com.br,Ramos,MS
89,Sofia Ferreira,enrico37@gmail.com,das Neves de Minas,RS
90,Pietra Jesus,cunhabryan@gmail.com,Sales do Campo,AM
91,Luiz Otávio Cunha,qmoura@ig.com.br,da Costa das Pedras,RS
92,Luigi Oliveira,mouraleandro@uol.com.br,Duarte de Moreira,AM
93,Isadora Viana,novaesmarcos-vinicius@hotmail.com,Ramos,AP
94,Clara Aragão,luigi29@campos.net,Melo,SP
95,Yuri Almeida,franciscoviana@yahoo.com.br,Correia,RO
96,Cauê Alves,joanamartins@gmail.com,Ferreira,AL
97,Vicente Peixoto,ribeiroana-livia@silva.com,Santos de das Neves,RN
98,Thomas Silveira,daraujo@uol.com.br,Pereira do Campo,PR
99,Sra. Ana Julia Cardoso,cauecostela@yahoo.com.br,Nascimento do Galho,MA
100,Lívia Pinto,vieiramilena@pinto.br,Ramos das Flores,PA
